Date,Mozilla,SAP AG,Akamai Technologies,University of Auckland,Red Hat,Google,Viktor Dukhovni,Watson Ladd,Microsoft,Trinity College Dublin,Eric Rescorla,Check Point,sn3rd llc,Cisco,chromium.org,internet-drafts@ietf.org,PhoneFactor,acm.org,Cloudflare,<Pasi.Eronen@nokia.com,Vigil Security,Ericsson,Simon Josefsson,International Electronic Communications Analysts (IECA),Christopher Wood,OBB,Katholieke Universiteit Leuven,"Blumenthal, Uri - 0553 - MITLL",Paul Hoffman,Repository Activity Summary Bot,RFC Errata System,=?UTF-8?Q?Colm_MacC=C3=A1rthaigh?=,3xA Security,Dan Harkins,MIT,Tony Arcieri,Internet-Drafts@ietf.org,Nelson B Bolyard,Daniel Kahn Gillmor,The IESG,Tableau,Aaron Zauner,Private Octopus Inc,INRIA,ACLU,Geoffrey Keating,Florian Weimer,Yaron Sheffer,Bill Frantz,Ted Lemon
2004-12-31 00:00:00+00:00,0.0,0.0,0.0,13.0,0.0,6.0,0.0,0.0,1.0,0.0,15.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-12-31 00:00:00+00:00,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,7.0,0.0,44.0,0.0,0.0,17.0,0.0,0.0,0.0,25.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,18.0,3.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-12-31 00:00:00+00:00,0.0,42.0,0.0,31.0,0.0,2.0,0.0,0.0,28.0,0.0,93.0,0.0,0.0,3.0,0.0,0.0,0.0,53.0,0.0,76.0,26.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,16.0,6.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2007-12-31 00:00:00+00:00,0.0,121.0,0.0,32.0,0.0,14.0,0.0,0.0,37.0,0.0,122.0,14.0,0.0,12.0,0.0,0.0,0.0,39.0,0.0,88.0,26.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,13.0,21.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
2008-12-31 00:00:00+00:00,0.0,44.0,0.0,35.0,0.0,6.0,0.0,0.0,15.0,0.0,78.0,24.0,0.0,39.0,0.0,0.0,0.0,9.0,0.0,66.0,14.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,34.0,20.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0
2009-12-31 00:00:00+00:00,0.0,362.0,1.0,24.0,0.0,25.0,0.0,0.0,122.0,12.0,49.0,46.0,0.0,52.0,0.0,0.0,186.0,41.0,0.0,90.0,9.0,0.0,69.0,0.0,0.0,5.0,0.0,0.0,26.0,0.0,0.0,0.0,93.0,1.0,2.0,0.0,19.0,68.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,5.0,10.0,0.0
2010-12-31 00:00:00+00:00,0.0,201.0,0.0,56.0,0.0,78.0,0.0,0.0,38.0,2.0,0.0,21.0,0.0,52.0,0.0,0.0,182.0,7.0,0.0,12.0,4.0,0.0,44.0,23.0,0.0,0.0,39.0,0.0,41.0,0.0,5.0,0.0,77.0,0.0,0.0,0.0,21.0,5.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,1.0,7.0,0.0
2011-12-31 00:00:00+00:00,0.0,154.0,0.0,67.0,0.0,36.0,0.0,0.0,10.0,0.0,63.0,61.0,0.0,46.0,2.0,6.0,45.0,7.0,0.0,0.0,1.0,0.0,11.0,15.0,0.0,3.0,93.0,0.0,15.0,0.0,2.0,0.0,0.0,21.0,0.0,0.0,2.0,0.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,14.0,15.0,10.0,1.0,0.0
2012-12-31 00:00:00+00:00,0.0,71.0,0.0,2.0,0.0,35.0,0.0,0.0,4.0,8.0,53.0,30.0,0.0,32.0,8.0,12.0,47.0,2.0,0.0,0.0,0.0,0.0,4.0,20.0,0.0,25.0,58.0,0.0,27.0,0.0,4.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,14.0,10.0,1.0,2.0,0.0
2013-12-31 00:00:00+00:00,49.0,139.0,36.0,82.0,32.0,115.0,0.0,64.0,42.0,13.0,7.0,84.0,0.0,43.0,0.0,20.0,0.0,38.0,0.0,0.0,9.0,0.0,20.0,28.0,0.0,26.0,31.0,0.0,20.0,0.0,4.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,19.0,5.0,0.0,0.0,0.0,6.0,0.0,11.0,0.0,37.0,11.0,0.0
