Date,Huawei,Cisco,Juniper Networks,Ericsson,ZTE,internet-drafts@ietf.org,Brocade,Google,"Black, David",IBM,University of Southern California,Dell Technologies,Lispers.net,Nokia - GB,Broadcom Corporation,MARC,Bloomberg,No affiliation,Microsoft,Dell EMC,Yoti Ltd,"NAPIERALA, MARIA H",Futurewei,Qualcomm,NTT I3,Matthew,No Mountain Software,Intel,Lothar Reith,Ivan Pepelnjak,acm.org,Six Degrees Group,Joel M. Halpern,Orange,Jesse Gross,Ladbrokes Coral Group plc,Florin,Dale R. Worley,Dimitri,Broadband Forum,Contrail Systems,IETF Secretariat,IESG,Ramki Krishnan,Vishwas Manral,Florian Mahr,Adrian Farrel,Verizon,Bob Briscoe,Randy Bush
2011-12-31 00:00:00+00:00,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2012-12-31 00:00:00+00:00,387.0,201.0,221.0,41.0,41.0,9.0,56.0,0.0,7.0,81.0,0.0,15.0,0.0,0.0,22.0,54.0,72.0,1.0,10.0,78.0,0.0,70.0,3.0,0.0,66.0,16.0,34.0,0.0,3.0,48.0,0.0,0.0,15.0,29.0,0.0,0.0,30.0,0.0,29.0,0.0,26.0,0.0,0.0,1.0,14.0,0.0,12.0,15.0,0.0,20.0
2013-12-31 00:00:00+00:00,302.0,146.0,30.0,108.0,0.0,20.0,15.0,0.0,51.0,54.0,0.0,11.0,29.0,0.0,29.0,33.0,15.0,5.0,11.0,0.0,0.0,8.0,1.0,36.0,0.0,25.0,26.0,0.0,42.0,0.0,5.0,0.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,12.0,6.0,21.0,0.0,3.0,0.0,0.0
2014-12-31 00:00:00+00:00,230.0,180.0,25.0,48.0,6.0,18.0,61.0,128.0,62.0,18.0,8.0,14.0,50.0,0.0,6.0,13.0,0.0,34.0,31.0,0.0,0.0,0.0,1.0,11.0,0.0,11.0,0.0,1.0,2.0,0.0,19.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,9.0,0.0,0.0,6.0,1.0,0.0,0.0
2015-12-31 00:00:00+00:00,136.0,98.0,10.0,8.0,16.0,19.0,67.0,26.0,10.0,1.0,36.0,24.0,9.0,0.0,24.0,0.0,1.0,22.0,24.0,0.0,3.0,0.0,0.0,9.0,0.0,11.0,4.0,7.0,0.0,0.0,16.0,44.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-12-31 00:00:00+00:00,108.0,97.0,53.0,17.0,6.0,28.0,1.0,18.0,25.0,0.0,74.0,34.0,45.0,35.0,8.0,0.0,5.0,10.0,0.0,0.0,76.0,0.0,0.0,9.0,0.0,2.0,0.0,2.0,8.0,0.0,1.0,0.0,1.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,0.0,1.0,0.0,3.0,0.0,7.0,0.0
2017-12-31 00:00:00+00:00,53.0,13.0,5.0,1.0,36.0,21.0,0.0,3.0,6.0,0.0,35.0,9.0,0.0,16.0,10.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,5.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,33.0,0.0,15.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
2018-12-31 00:00:00+00:00,28.0,36.0,3.0,0.0,35.0,17.0,0.0,3.0,3.0,0.0,0.0,4.0,0.0,27.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,12.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
2019-12-31 00:00:00+00:00,11.0,3.0,3.0,0.0,19.0,9.0,0.0,5.0,0.0,0.0,0.0,34.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,1.0,0.0,19.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-31 00:00:00+00:00,5.0,3.0,0.0,0.0,8.0,21.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
2021-12-31 00:00:00+00:00,16.0,0.0,0.0,1.0,3.0,13.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-31 00:00:00+00:00,3.0,2.0,0.0,6.0,18.0,11.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-31 00:00:00+00:00,3.0,1.0,3.0,12.0,23.0,11.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-31 00:00:00+00:00,4.0,0.0,0.0,4.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
