Date,Mozilla,SAP AG,Akamai Technologies,University of Auckland,Red Hat,Google,Viktor Dukhovni,Microsoft,Watson Ladd,Check Point,Trinity College Dublin,Cisco,Eric Rescorla,sn3rd llc,PhoneFactor,internet-drafts@ietf.org,chromium.org,acm.org,<Pasi.Eronen@nokia.com,Cloudflare,Vigil Security,Simon Josefsson,International Electronic Communications Analysts (IECA),Christopher Wood,Ericsson,OBB,Katholieke Universiteit Leuven,Paul Hoffman,"Blumenthal, Uri - 0553 - MITLL",=?UTF-8?Q?Colm_MacC=C3=A1rthaigh?=,3xA Security,Repository Activity Summary Bot,Dan Harkins,MIT,RFC Errata System,Tony Arcieri,Internet-Drafts@ietf.org,Nelson B Bolyard,Daniel Kahn Gillmor,Tableau,The IESG,Aaron Zauner,ACLU,INRIA,Geoffrey Keating,Florian Weimer,Yaron Sheffer,Bill Frantz,Oracle,Private Octopus Inc
2004-12-31 00:00:00+00:00,0.0,0.0,0.0,13.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,2.0,15.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-12-31 00:00:00+00:00,0.0,0.0,0.0,6.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,17.0,44.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,18.0,3.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-12-31 00:00:00+00:00,0.0,42.0,0.0,31.0,0.0,2.0,0.0,28.0,0.0,0.0,0.0,3.0,93.0,0.0,0.0,0.0,0.0,53.0,76.0,0.0,26.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,16.0,6.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2007-12-31 00:00:00+00:00,0.0,121.0,0.0,32.0,0.0,14.0,0.0,37.0,0.0,14.0,0.0,12.0,122.0,0.0,0.0,0.0,0.0,39.0,88.0,0.0,26.0,42.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,13.0,21.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
2008-12-31 00:00:00+00:00,0.0,44.0,0.0,35.0,0.0,6.0,0.0,15.0,0.0,24.0,0.0,39.0,78.0,0.0,0.0,0.0,0.0,9.0,66.0,0.0,14.0,19.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,34.0,20.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0
2009-12-31 00:00:00+00:00,0.0,362.0,1.0,24.0,0.0,25.0,0.0,122.0,0.0,46.0,12.0,52.0,49.0,0.0,186.0,0.0,0.0,41.0,90.0,0.0,9.0,69.0,0.0,0.0,0.0,5.0,0.0,26.0,0.0,0.0,93.0,0.0,1.0,2.0,0.0,0.0,19.0,68.0,1.0,0.0,10.0,0.0,0.0,0.0,1.0,12.0,5.0,10.0,0.0,0.0
2010-12-31 00:00:00+00:00,0.0,201.0,0.0,56.0,0.0,78.0,0.0,38.0,0.0,21.0,2.0,52.0,0.0,0.0,182.0,0.0,0.0,7.0,12.0,0.0,4.0,44.0,23.0,0.0,0.0,0.0,39.0,41.0,0.0,0.0,77.0,0.0,0.0,0.0,5.0,0.0,21.0,5.0,4.0,0.0,6.0,0.0,0.0,0.0,5.0,4.0,1.0,7.0,92.0,0.0
2011-12-31 00:00:00+00:00,0.0,154.0,0.0,67.0,0.0,36.0,0.0,10.0,0.0,61.0,0.0,46.0,63.0,0.0,45.0,6.0,2.0,7.0,0.0,0.0,1.0,11.0,15.0,0.0,0.0,3.0,93.0,15.0,0.0,0.0,0.0,0.0,21.0,0.0,2.0,0.0,2.0,0.0,5.0,0.0,6.0,0.0,0.0,0.0,14.0,15.0,10.0,1.0,3.0,0.0
2012-12-31 00:00:00+00:00,0.0,71.0,0.0,2.0,0.0,35.0,0.0,4.0,0.0,30.0,8.0,32.0,53.0,0.0,47.0,12.0,8.0,2.0,0.0,0.0,0.0,4.0,20.0,0.0,0.0,25.0,58.0,27.0,0.0,0.0,3.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,14.0,10.0,1.0,2.0,1.0,0.0
2013-12-31 00:00:00+00:00,49.0,139.0,36.0,82.0,32.0,115.0,0.0,42.0,64.0,84.0,13.0,43.0,7.0,0.0,0.0,20.0,0.0,38.0,0.0,0.0,9.0,20.0,28.0,0.0,0.0,26.0,31.0,20.0,0.0,0.0,0.0,0.0,44.0,0.0,4.0,0.0,0.0,0.0,19.0,0.0,5.0,0.0,0.0,6.0,11.0,0.0,37.0,11.0,0.0,0.0
2014-12-31 00:00:00+00:00,415.0,148.0,206.0,103.0,167.0,87.0,96.0,85.0,301.0,111.0,41.0,50.0,0.0,0.0,0.0,34.0,0.0,136.0,0.0,0.0,19.0,5.0,63.0,0.0,0.0,10.0,0.0,20.0,0.0,14.0,0.0,0.0,29.0,0.0,11.0,0.0,1.0,0.0,86.0,0.0,6.0,4.0,0.0,41.0,25.0,24.0,9.0,26.0,2.0,0.0
2015-12-31 00:00:00+00:00,562.0,123.0,143.0,87.0,158.0,60.0,163.0,98.0,103.0,115.0,56.0,17.0,0.0,0.0,0.0,45.0,28.0,19.0,0.0,4.0,26.0,40.0,71.0,0.0,4.0,7.0,0.0,4.0,32.0,14.0,0.0,0.0,8.0,0.0,12.0,61.0,1.0,0.0,0.0,22.0,12.0,84.0,55.0,38.0,20.0,26.0,11.0,13.0,0.0,0.0
2016-12-31 00:00:00+00:00,548.0,57.0,180.0,110.0,196.0,112.0,46.0,69.0,82.0,77.0,49.0,23.0,0.0,50.0,0.0,18.0,130.0,13.0,0.0,30.0,18.0,4.0,42.0,0.0,15.0,50.0,0.0,0.0,12.0,42.0,0.0,0.0,17.0,0.0,13.0,37.0,1.0,0.0,0.0,37.0,5.0,22.0,15.0,20.0,12.0,6.0,11.0,15.0,0.0,0.0
2017-12-31 00:00:00+00:00,426.0,41.0,265.0,31.0,85.0,60.0,63.0,43.0,39.0,37.0,127.0,39.0,0.0,89.0,0.0,65.0,41.0,0.0,0.0,30.0,42.0,0.0,0.0,2.0,32.0,30.0,0.0,1.0,46.0,94.0,0.0,0.0,0.0,4.0,7.0,16.0,0.0,0.0,0.0,24.0,5.0,7.0,14.0,2.0,2.0,2.0,2.0,4.0,1.0,23.0
2018-12-31 00:00:00+00:00,296.0,12.0,154.0,64.0,109.0,23.0,154.0,11.0,2.0,0.0,51.0,40.0,0.0,130.0,0.0,47.0,50.0,0.0,0.0,18.0,34.0,0.0,0.0,32.0,11.0,3.0,0.0,1.0,16.0,12.0,1.0,0.0,0.0,31.0,16.0,18.0,0.0,0.0,0.0,24.0,12.0,0.0,18.0,2.0,5.0,2.0,2.0,7.0,0.0,13.0
2019-12-31 00:00:00+00:00,109.0,1.0,64.0,7.0,35.0,38.0,16.0,5.0,17.0,0.0,50.0,27.0,0.0,31.0,0.0,37.0,29.0,0.0,0.0,32.0,16.0,0.0,0.0,51.0,44.0,3.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,25.0,3.0,1.0,0.0,0.0,0.0,5.0,9.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,20.0
2020-12-31 00:00:00+00:00,173.0,2.0,111.0,27.0,4.0,50.0,49.0,3.0,22.0,0.0,71.0,35.0,0.0,78.0,0.0,48.0,32.0,0.0,0.0,71.0,23.0,0.0,0.0,77.0,26.0,33.0,0.0,0.0,18.0,1.0,0.0,48.0,0.0,31.0,35.0,0.0,0.0,0.0,0.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,23.0
